Month,Values
12,-2.07
12,-5588.19
12,428.6
12,-1800
12,-263.32
12,-2641.43
12,-56.83
12,150.88
12,-218.81
12,-303.81
12,-749.98
12,-13.66
12,-19.14
12,-361.91
12,1650
12,-11.31
12,-168
12,-29.09
12,-141.11
12,-0.55
12,-10.39
12,-96
12,0
12,-16.12
12,-15.9
12,-16087.41
12,-0.52
12,-3295.92
12,35.71
12,-1047.23
12,-65.83
12,-552.77
12,-1723.54
12,-17.58
12,69.12
12,-52.23
12,-187.53
12,-3.42
12,-4.78
12,-90.48
12,-2.83
12,-27150
12,-13.3
12,-34.78
12,-0.14
12,-2.6
12,-44
12,-257.95
12,-141.35
12,-8.27
12,-32808.9
12,5987.53
12,-5368.39
12,-929.12
12,-441.02
12,-13748.69
12,-324.11
12,-137.98
12,2149.25
12,-926.05
12,-656.96
12,-2935.18
12,-54.65
12,-76.54
12,-1447.63
12,-461.97
12,-45.23
12,-6938.95
12,-90.22
12,-440.89
12,-2.22
12,-41.55
12,-511
12,-750
12,-264
12,-450
12,-158.4
12,-600
12,-211.2
12,-150
12,-52.8
12,-300
12,-105.6
12,-600
12,-211.2
12,-750
12,-264
12,-750
12,-264
12,-600
12,-211.2
12,-450
12,-158.4
12,-750
12,-264
12,-1050
12,-369.6
12,-750
12,-264
12,-1050
12,-369.6
12,-750
12,-264
12,-450
12,-158.4
12,-1050
12,-369.6
12,-1350
12,-475.2
12,-600
12,-211.2
12,-257.95
12,-108.39
12,-158.7
12,-8.27
12,-34474.75
12,256.75
12,-2582.18
12,-841.65
12,73.48
12,-13002.91
12,-309.69
12,-72.91
12,455.2
12,-948.68
12,-342.7
12,-2919.34
12,-54.65
12,-76.54
12,-1447.63
12,-459.67
12,-45.23
12,-4637.71
12,-75.35
12,-44.25
12,-463.24
12,-2.22
12,-41.55
12,-719
12,-48.37
12,-23.85
12,-445.17
12,-1.55
12,-5517.66
12,115.56
12,-1000
12,-197.49
12,-362.78
12,-2400.34
12,-63.62
12,-28.92
12,270.29
12,-88.8
12,-482.02
12,-10.25
12,-14.35
12,-271.43
12,-860.48
12,-8.48
12,-163.46
12,-21.45
12,-119.87
12,-0.42
12,-7.79
12,-65
12,-112.85
12,-65.15
12,-3.62
12,-19670.22
12,-411.66
12,-3550
12,-394.98
12,-4457.09
12,-9251.46
12,-190.15
12,-87.37
12,1014.64
12,1.68
12,-1225.23
12,-23.91
12,-33.49
12,-633.34
12,-10432.32
12,-18.37
12,-1072
12,-23
12,-231.23
12,-291.91
12,-0.9
12,169.71
12,-179
12,-290.2
12,-281.4
12,-9.3
12,-27392.86
12,1787.4
12,-3515.69
12,-944.15
12,-254.69
12,-11276.59
12,-270.39
12,-148.91
12,629.16
12,-1813.32
12,-562.48
12,-3393.78
12,-61.48
12,-86.11
12,-1628.59
12,-50.88
12,-3229.19
12,-32.14
12,-34.62
12,-619.3
12,-2.5
12,-46.74
12,-301
12,-80.61
12,-31.8
12,-2.58
12,-7646.56
12,2768.01
12,-3281.06
12,-234.16
12,-1356.87
12,-3514.55
12,-55.54
12,-72.91
12,-130.17
12,-233.97
12,-937.51
12,-17.08
12,-23.92
12,-452.39
12,-56.25
12,-2766.14
12,-14.13
12,-636
12,-174.73
12,-160.56
12,-171.25
12,-0.69
12,-467.77
12,-98
12,-112.85
12,-87.6
12,-3.62
12,-7297.76
12,2296.56
12,-2600
12,-293.36
12,-3082.43
12,-60.37
12,343.54
12,-318.68
12,-1421.53
12,-23.91
12,-33.49
12,-633.34
12,-19.79
12,-8.05
12,-262.66
12,-0.97
12,-18.18
12,-102
12,-290.2
12,-320.6
12,-9.3
12,-26984.51
12,1370.43
12,-2658.93
12,-689.23
12,-10944.47
12,-270.28
12,-92.14
12,699.35
12,-1115.81
12,-30.12
12,-3346.27
12,-61.48
12,-86.11
12,-1628.59
12,-50.88
12,-2036
12,-16.54
12,-598.43
12,-2.5
12,-46.74
12,-250
12,-96.73
12,-104.5
12,-3.1
12,-10584.26
12,7174.32
12,-1115.55
12,-278.34
12,-82.04
12,-2892.16
12,-53.32
12,-95.21
12,807.77
12,-380.15
12,-1093.88
12,-20.49
12,-28.7
12,-542.86
12,-16.96
12,-4100
12,-7.9
12,-199.4
12,-0.83
12,-15.58
12,-141
12,-403.05
12,-414.75
12,-5894.34
12,-12.92
12,-39382.46
12,1424.52
12,-4672.81
12,-1135.89
12,-41.02
12,-16286.23
12,-380.22
12,-190.17
12,1059.02
12,-1203.57
12,96.02
12,-7648.42
12,-85.39
12,-119.59
12,-2261.93
12,-70.67
12,-6143.66
12,-46
12,-99.29
12,-3154.08
12,-3.47
12,-64.92
12,-403
12,-241.83
12,-170.89
12,-304
12,-7.75
12,-44263.04
12,2358.13
12,-2075.37
12,-402.48
12,-314.07
12,-15723.72
12,-346.13
12,-87.98
12,282.76
12,-919
12,-2572.58
12,-51.23
12,-71.76
12,-1357.16
12,-42.4
12,-1425
12,-60
12,-100.44
12,-479.46
12,-2.08
12,-38.95
12,-369
12,-274.08
12,-197.1
12,-8.79
12,-30273.82
12,1334.5
12,-4813.03
12,-921.61
12,-13101.79
12,-349.63
12,-188.58
12,949.84
12,-1274.91
12,177.3
12,-3148.57
12,-58.06
12,-81.32
12,-1538.11
12,-85
12,-1500.38
12,-885
12,-48.05
12,-543.49
12,-46
12,-150.28
12,-570.98
12,-2.36
12,-44.14
12,-38.82
12,-386
12,-306.32
12,-239.1
12,-9.82
12,-40106.55
12,-896.36
12,-777.49
12,-1119.11
12,-16225.83
12,-388.68
12,-159.05
12,1053.06
12,-842.12
12,-299.86
12,-3509.53
