Month,Values,CostCarrier,CostElement
4,-51.21,T2B0000013,661202000
4,-300.19,T2B0000013,661402000
4,-14.41,T2B0000013,662204000
4,-318.8500000000001,T2B0000013,662208000
4,-36.73,T2B0000013,662212000
4,-67.2,T2B0000013,662213000
4,-218.69,T2B0000013,663701000
4,4.884981308350689e-15,T2B0000013,663903000
4,-677.42,T2B0000013,664001000
4,51.629999999999995,T2B0000013,664104000
4,3.58,T2B0000013,664201000
4,-240,T2B0000013,710516000
4,-778,T2B0000013,711401000
4,-53.72,T2B0000015,610501000
4,-36.55,T2B0000015,611601000
4,-20.1,T2B0000015,612205000
4,-2.62,T2B0000015,613101000
4,-24052.510000000002,T2B0000015,640301000
4,-9150.41,T2B0000015,640302000
4,-263.31999999999994,T2B0000015,640312000
4,-1035.65,T2B0000015,640606000
4,-9448.649999999998,T2B0000015,640901000
4,-226.42999999999998,T2B0000015,640901011
4,-16.340000000000003,T2B0000015,640901012
4,-1647.2299999999996,T2B0000015,640901013
4,-176.58,T2B0000015,641601000
4,-1096.14,T2B0000015,660801000
4,-1483.8300000000002,T2B0000015,661001000
4,-18.56,T2B0000015,661201000
4,-38.41,T2B0000015,661202000
4,-102.89000000000001,T2B0000015,661301000
4,-341.03,T2B0000015,661302000
4,-225.15,T2B0000015,661402000
4,-33.89,T2B0000015,661701004
4,-14.18,T2B0000015,662204000
4,-15.24,T2B0000015,662208000
4,-25.93,T2B0000015,662212000
4,-200,T2B0000015,662213000
4,-77.39000000000001,T2B0000015,663701000
4,-3.56,T2B0000015,663903000
4,-352.44,T2B0000015,664001000
4,-134.76,T2B0000015,664103000
4,-69.69,T2B0000015,664104000
4,2.53,T2B0000015,664201000
4,-3.58,T2B0000015,664501000
4,-187,T2B0000015,710516000
4,0,T2B0000017,662212000
4,-60,T2B0000017,710501000
4,-311,T2B0000017,710516000
4,-513,T2B0000018,662101000
4,0,T2B0000019,662212000
4,-3995,T2B0000020,640301000
4,-1406.24,T2B0000020,640901000
4,4933.249999999998,T2B0000020,662213000
4,-98.49,T2B0000021,610501000
4,-100.15,T2B0000021,611601000
4,-60.3,T2B0000021,612205000
4,-4.8,T2B0000021,613101000
4,-30819.229999999996,T2B0000021,640301000
4,-4270,T2B0000021,640302000
4,-526.6399999999999,T2B0000021,640312000
4,-11177.629999999997,T2B0000021,640901000
4,-295.44,T2B0000021,640901011
4,-97.09,T2B0000021,640901012
4,-1503.04,T2B0000021,640901013
4,-525.38,T2B0000021,641601000
4,-1942.9,T2B0000021,660801000
4,-34.02,T2B0000021,661201000
4,-70.41,T2B0000021,661202000
4,-412.77,T2B0000021,661402000
4,-504.82,T2B0000021,662202000
4,-345.17,T2B0000021,662204000
4,-47.53,T2B0000021,662212000
4,-13.54,T2B0000021,662213000
4,-102.19,T2B0000021,663701000
4,-362.38000000000005,T2B0000021,664001000
4,84.30000000000001,T2B0000021,664104000
4,4.63,T2B0000021,664201000
4,-305,T2B0000021,710516000
4,-107.45,T2B0000023,610501000
4,-135.9,T2B0000023,611601000
4,-32.16,T2B0000023,612205000
4,-5.24,T2B0000023,613101000
4,-15013.380000000003,T2B0000023,640301000
4,-4334.879999999999,T2B0000023,640302000
4,-1916.14,T2B0000023,640304000
4,-797.47,T2B0000023,640312000
4,-7413.369999999998,T2B0000023,640901000
4,-190.61999999999998,T2B0000023,640901011
4,-131.87,T2B0000023,640901012
4,-201.67000000000007,T2B0000023,640901013
4,-1202.12,T2B0000023,641601000
4,-705.63,T2B0000023,641602000
4,-2122.15,T2B0000023,660801000
4,-37.12,T2B0000023,661201000
4,-76.82,T2B0000023,661202000
4,-450.29,T2B0000023,661402000
4,-51.85,T2B0000023,662212000
4,-578.9200000000001,T2B0000023,662213000
4,-72.63999999999999,T2B0000023,663701000
4,-293.76000000000005,T2B0000023,664001000
4,91.95,T2B0000023,664104000
4,5.05,T2B0000023,664201000
4,-187,T2B0000023,710516000
4,-26.86,T2B0000024,610501000
4,-28.6,T2B0000024,611601000
4,-1.31,T2B0000024,613101000
4,-3015.7099999999996,T2B0000024,640301000
4,-411.25,T2B0000024,640302000
4,-73.34,T2B0000024,640312000
4,-1104.62,T2B0000024,640901000
4,-31.700000000000003,T2B0000024,640901011
4,-45.18,T2B0000024,640901012
4,-144.76,T2B0000024,640901013
4,-823.55,T2B0000024,641601000
4,-529.89,T2B0000024,660801000
4,-9.28,T2B0000024,661201000
4,-19.2,T2B0000024,661202000
4,-112.57,T2B0000024,661402000
4,-12.96,T2B0000024,662212000
4,-37.8,T2B0000024,662213000
4,-23,T2B0000024,662602000
4,-2.380000000000001,T2B0000024,663701000
4,-107.63,T2B0000024,663903000
4,-102.96,T2B0000024,664001000
4,22.99,T2B0000024,664104000
4,1.26,T2B0000024,664201000
4,-69,T2B0000024,710516000
4,-62.68,T2B0000025,610501000
4,-65.15,T2B0000025,611601000
4,-61.62,T2B0000025,612205000
4,-3.05,T2B0000025,613101000
4,-10012.63,T2B0000025,640301000
4,-1167.5,T2B0000025,640302000
4,-220.0200000000001,T2B0000025,640312000
4,-3642.5699999999997,T2B0000025,640901000
4,-61.879999999999995,T2B0000025,640901011
4,-30.24,T2B0000025,640901012
4,-410.96000000000004,T2B0000025,640901013
4,-370.6000000000001,T2B0000025,641601000
4,-1246.77,T2B0000025,660801000
4,-21.65,T2B0000025,661201000
4,-44.81,T2B0000025,661202000
4,-262.67,T2B0000025,661402000
4,-30.25,T2B0000025,662212000
4,-84.46000000000001,T2B0000025,663701000
4,-211.64000000000004,T2B0000025,664001000
4,58.14,T2B0000025,664104000
4,2.95,T2B0000025,664201000
4,-522,T2B0000025,710516000
4,-140,T2B0000026,612809000
4,-640,T2B0000026,612809015
4,-43431.25,T2B0000026,660503000
4,-199.5,T2B0000026,662101000
4,-1560,T2B0000026,662208000
4,-17830.67,T2B0000026,662501000
4,-496.56,T2B0000026,662606000
4,-204.64,T2B0000026,663901000
4,-653,T2B0000026,663903000
4,-80,T2B0000026,664804000
4,-156,T2B0000026,710501000
4,-501,T2B0000026,710516000
4,-103,T2B0000026,710520000
4,-35.82,T2B0000028,610501000
4,-28.6,T2B0000028,611601000
4,-8.04,T2B0000028,612205000
4,-1.75,T2B0000028,613101000
4,-6433.509999999999,T2B0000028,640301000
4,-981.25,T2B0000028,640302000
4,-204.99999999999994,T2B0000028,640312000
4,-2366.79,T2B0000028,640901000
4,-42.989999999999995,T2B0000028,640901011
